experiment	item	condition	text	Extraction	RCAttachment	question2	qType2	correctAnswer	alt1Answer	question	qType	design	record
scl	1	1	While the president_ms ignored_mv the reporter_mo that_rp the senator_rs attacked_rv a_1 press_2 conference_3 was_4 given about the trade deal._5	Object	Object	Did the reporter attack the senator?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	1	2	While the reporter_ms that_rp the senator_rs attacked_rv ignored_mv the president_mo a_1 press_2 conference_3 was_4 given about the trade deal._5	Object	Subject	Did the reporter attack the senator?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	1	3	While the president_ms ignored_mv the reporter_mo that_rp attacked_rv the senator_ro a_1 press_2 conference_3 was_4 given about the trade deal._5	Subject	Object	Did the reporter attack the senator?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	1	4	While the reporter_ms that_rp attacked_rv the senator_ro ignored_mv the president_mo a_1 press_2 conference_3 was_4 given about the trade deal._5	Subject	Subject	Did the reporter attack the senator?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	2	1	While the child_ms played_mv with the babysitter_mo that_rp the parents_rs praised_rv the_1 report_2 cards_3 were_4 handed out to the kids._5	Object	Object	Did the parents praise the babysitter?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	2	2	While the babysitter_ms that_rp the parents_rs praised_rv played_mv with the child_mo the_1 report_2 cards_3 were_4 handed out to the kids._5	Object	Subject	Did the parents praise the babysitter?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	2	3	While the child_ms played_mv with the babysitter_mo that_rp praised_rv the parents_ro the_1 report_2 cards_3 were_4 handed out to the kids._5	Subject	Object	Did the parents praise the babysitter?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	2	4	While the babysitter_ms that_rp praised_rv the parents_ro played_mv with the child_mo the_1 report_2 cards_3 were_4 handed out to the kids._5	Subject	Subject	Did the parents praise the babysitter?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	3	1	While the broker_ms observed_mv the banker_mo that_rp the chairman_rs met_rv the_1 stock_2 market_3 plummeted_4 due to the housing bubble._5	Object	Object	Did the broker observe the banker?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	3	2	While the banker_ms that_rp the chairman_rs met_rv observed_mv the broker_mo the_1 stock_2 market_3 plummeted_4 due to the housing bubble._5	Object	Subject	Did the broker observe the banker?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	3	3	While the broker_ms observed_mv the banker_mo that_rp met_rv the chairman_ro the_1 stock_2 market_3 plummeted_4 due to the housing bubble._5	Subject	Object	Did the broker observe the banker?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	3	4	While the banker_ms that_rp met_rv the chairman_ro observed_mv the broker_mo the_1 stock_2 market_3 plummeted_4 due to the housing bubble._5	Subject	Subject	Did the broker observe the banker?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	4	1	While the singer_ms insulted_mv the violinist_mo that_rp the sponsors_rs wanted to talk to_rv the_1 orchestra_2 began_3 to_4 play the Universe symphony by Ives._5	Object	Object	Did the sponsors want to talk to the violinist?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	4	2	While the violinist_ms that_rp the sponsors_rs wanted to talk to_rv insulted_mv the singer_mo the_1 orchestra_2 began_3 to_4 play the Universe symphony by Ives._5	Object	Subject	Did the sponsors want to talk to the violinist?	mcF	Y	N	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
scl	4	3	While the singer_ms insulted_mv the violinist_mo that_rp wanted to talk to_rv the sponsors_ro the_1 orchestra_2 began_3 to_4 play the Universe symphony by Ives._5	Subject	Object	Did the sponsors want to talk to the violinist?	mcF	N	Y	Please rate how natural you found this sentence!	jm_1_6_completely unnatural_completely natural	LATINSQUARE	y
