experiment	item	condition	context	text	question	qType	PersonSubject	PersonObject	NumberSubject	NumberObject	SingulaAbovePlural	ThirdAboveParticipant	SecondAboveFirst	type	design	
algo1	1	1	(pointing at herself)	I am me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Singular	Singular	0	0	0	test	Random	
algo1	2	1	"(pointing at herself, then at you)"	I  am you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Singular	Singular	0	0	0	test	Random	
algo1	3	1	"(pointing at herself, then at your friend Bill)"	I am him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Singular	Singular	0	0	0	test	Random	
algo1	4	1	"(pointing at you, then at herself)"	You are me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Singular	Singular	0	0	1	test	Random	
algo1	5	1	(pointing at you)	You are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Singular	Singular	0	0	0	test	Random	
algo1	6	1	"(pointing at you, then at your friend John)"	You are him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Singular	Singular	0	0	0	test	Random	
algo1	7	1	"(pointing at your friend Joel, then at herself)"	He is me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Singular	Singular	0	1	0	test	Random	
algo1	8	1	"(pointing at your friend Jasper, then at you)"	He is you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Singular	Singular	0	1	0	test	Random	
algo1	9	1	"(pointing at your friend Pete, then at your friend Sally)"	He is her.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Singular	Singular	0	0	0	test	Random	
algo1	10	1	"(pointing at herself, then at herself and you)"	I am us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Singular	Plural	1	0	0	test	Random	
algo1	11	1	"(pointing at herself, then at you and your friend Ruby)"	I am you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Singular	Plural	1	0	0	test	Random	
algo1	12	1	"(pointing at herself, then at your friends Bill and Ryan)"	I am them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Singular	Plural	1	0	0	test	Random	
algo1	13	1	"(pointing at you, then at herself and your friend Jake)"	You are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Singular	Plural	1	0	1	test	Random	
algo1	14	1	"(pointing at you, then at you and your friend Sarah)"	You are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Singular	Plural	1	0	0	test	Random	
algo1	15	1	"(pointing at you, then at your friends Jill and Brian)"	You are them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Singular	Plural	1	0	0	test	Random	
algo1	16	1	"(pointing at your friend Joel, then at herself and you)"	He is us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Singular	Plural	1	1	0	test	Random	
algo1	17	1	"(pointing at your friend Jasper, then at you and your friend Mary)"	He is you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Singular	Plural	1	1	0	test	Random	
algo1	18	1	"(pointing at your friend Pete, then at your friends Sally and Erin)"	He is them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Singular	Plural	1	0	0	test	Random	
algo1	19	1	"(pointing at herself and you, then at herself)"	We are me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Plural	Singular	0	0	0	test	Random	
algo1	20	1	"(pointing at herself and Sue, then at you and your friend Lyn)"	We are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Plural	Singular	0	0	0	test	Random	
algo1	21	1	"(pointing at herself and Greta, then at your friend Bill)"	We are him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Plural	Singular	0	0	0	test	Random	
algo1	22	1	"(pointing at you and your friend Pat, then at herself)"	You are me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Plural	Singular	0	0	1	test	Random	
algo1	23	1	"(pointing at you and your friend Zoe, then at just you)"	You are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Plural	Singular	0	0	0	test	Random	
algo1	24	1	"(pointing at you and your friend Ken, then at your friend John)"	You are him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Plural	Singular	0	0	0	test	Random	
algo1	25	1	"(pointing at your friends Joe  and Paml, then at herself)"	They are me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Plural	Singular	0	1	0	test	Random	
algo1	26	1	"(pointing at your friends Rick and Sam, then at you)"	They are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Plural	Singular	0	1	0	test	Random	
algo1	27	1	"(pointing at your friends William and Tyler, then at your friend Sally)"	They are her.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Plural	Singular	0	0	0	test	Random	
algo1	28	1	(pointing at herself and Nate)	We are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Plural	Plural	0	0	0	test	Random	
algo1	29	1	"(pointing at herself and Dillon, then at you and your friend Kate)"	We are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Plural	Plural	0	0	0	test	Random	
algo1	30	1	"(pointing at herself and Cory, then at your friends Tara and Jasmine)"	We are them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Plural	Plural	0	0	0	test	Random	
algo1	31	1	"(pointing at you and your friend Zack, then at herself and her friend Mitch)"	You are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Plural	Plural	0	0	1	test	Random	
algo1	32	1	(pointing at you and your friend Laura)	You are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Plural	Plural	0	0	0	test	Random	
