experiment	item	condition	context	text	question	qType	PersonSubject	PersonObject	NumberSubject	NumberObject	SingulaAbovePlural	ThirdAboveParticipant	SecondAboveFirst	type	design
algo2	1	1	(pointing at herself)	I am I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	1	Singular	Singular	0	0	0	test	Random
algo2	2	1	"(pointing at herself, then at you)"	I  am you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	2	Singular	Singular	0	0	0	test	Random
algo2	3	1	"(pointing at herself, then at your friend Bill)"	I am he.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	3	Singular	Singular	0	0	0	test	Random
algo2	4	1	"(pointing at you, then at herself)"	You are I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	1	Singular	Singular	0	0	1	test	Random
algo2	5	1	(pointing at you)	You are you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	2	Singular	Singular	0	0	0	test	Random
algo2	6	1	"(pointing at you, then at your friend John)"	You are I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	3	Singular	Singular	0	0	0	test	Random
algo2	7	1	"(pointing at your friend Joel, then at herself)"	He is I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	1	Singular	Singular	0	1	0	test	Random
algo2	8	1	"(pointing at your friend Jasper, then at you)"	He is you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	2	Singular	Singular	0	1	0	test	Random
algo2	9	1	"(pointing at your friend Pete, then at your friend Sally)"	He is she.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	3	Singular	Singular	0	0	0	test	Random
algo2	10	1	"(pointing at herself, then at herself and you)"	I am we.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	1	Singular	Plural	1	0	0	test	Random
algo2	11	1	"(pointing at herself, then at you and your friend Ruby)"	I am you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	2	Singular	Plural	1	0	0	test	Random
algo2	12	1	"(pointing at herself, then at your friends Bill and Ryan)"	I am they.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	3	Singular	Plural	1	0	0	test	Random
algo2	13	1	"(pointing at you, then at herself and your friend Jake)"	You are we.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	1	Singular	Plural	1	0	1	test	Random
algo2	14	1	"(pointing at you, then at you and your friend Sarah)"	You are you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	2	Singular	Plural	1	0	0	test	Random
algo2	15	1	"(pointing at you, then at your friends Jill and Brian)"	You are they.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	3	Singular	Plural	1	0	0	test	Random
algo2	16	1	"(pointing at your friend Joel, then at herself and you)"	He is we.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	1	Singular	Plural	1	1	0	test	Random
algo2	17	1	"(pointing at your friend Jasper, then at you and your friend Mary)"	He is you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	2	Singular	Plural	1	1	0	test	Random
algo2	18	1	"(pointing at your friend Pete, then at your friends Sally and Erin)"	He is they.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	3	Singular	Plural	1	0	0	test	Random
algo2	19	1	"(pointing at herself and you, then at herself)"	We are I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	1	Plural	Singular	0	0	0	test	Random
algo2	20	1	"(pointing at herself and Sue, then at you and your friend Lyn)"	We are you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	2	Plural	Singular	0	0	0	test	Random
algo2	21	1	"(pointing at herself and Greta, then at your friend Bill)"	We are he.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	1	3	Plural	Singular	0	0	0	test	Random
algo2	22	1	"(pointing at you and your friend Pat, then at herself)"	You are I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	1	Plural	Singular	0	0	1	test	Random
algo2	23	1	"(pointing at you and your friend Zoe, then at just you)"	You are you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	2	Plural	Singular	0	0	0	test	Random
algo2	24	1	"(pointing at you and your friend Ken, then at your friend John)"	You are he.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	2	3	Plural	Singular	0	0	0	test	Random
algo2	25	1	"(pointing at your friends Joe  and Paml, then at herself)"	They are I.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	1	Plural	Singular	0	1	0	test	Random
algo2	26	1	"(pointing at your friends Rick and Sam, then at you)"	They are you.	How acceptable of a sentence of English do you think this is?\n(1=completely unacceptable; 6=completely acceptable)	jm	3	2	Plural	Singular	0	1	0	test	Random
