session	instructions	experiment	item	condition	conditionLabel	wavFile	wavFileName	question	qType	design	text
1	instructions1.txt	wtraining	1	1	Good	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_25.G.mp3   	will_25.G.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	random	James was supported by Alice, and later on James supported Holly.
1	instructions1.txt	wtraining	2	1	Good	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_26.G.mp3   	will_26.G.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	random	Adam was insulted by the referee, so Adam insulted the umpire.
1	instructions1.txt	wtraining	3	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_27.B.mp3   	will_27.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	random	The direct inspired the dancer, and the director was admired by the dancer.
1	instructions1.txt	wtraining	4	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_28.B.mp3    	will_28.B.mp3    	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	random	Ian was impressed by Brenda, and Ian appreciated Brenda.
2	instructions2.txt	ewill	1	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_1.B.mp3   	will_1.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	John saw Mary, and then John was hit by Mary.
2	instructions2.txt	ewill	2	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_2.B.mp3   	will_2.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Clara sings for the public, and Clara is loved by the public.
2	instructions2.txt	ewill	3	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_3.B.mp3   	will_3.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Ana was visited by Derek, and that’s when Ana provoked Derek. 
2	instructions2.txt	ewill	4	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_4.B.mp3   	will_4.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Darin met Sue, and later Darin was kissed by Sue.
2	instructions2.txt	ewill	5	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_5.B.mp3   	will_5.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Keren was stopped by some fans, and then Keren embraced a fan. 
2	instructions2.txt	ewill	6	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_6.B.mp3   	will_6.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Tom was noticed by Anthony, then Tom greeted Anthony.
2	instructions2.txt	ewill	7	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_7.B.mp3   	will_7.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	George has many cousins, and George was invited by a cousin. 
2	instructions2.txt	ewill	8	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_8.B.mp3   	will_8.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Laura was familiar with Todd, and Laura envied Todd.
2	instructions2.txt	ewill	9	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_9.B.mp3   	will_9.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Helen looked after her students, and then Helen was praised by a student.
2	instructions2.txt	ewill	10	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_10.B.mp3   	will_10.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Lucy was sought out by Linus, and that’s why Lucy decided to counsel Linus.
2	instructions2.txt	ewill	11	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_11.B.mp3   	will_11.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Andrea scolded her classmates, and later on Andrea was mocked by a classmate. 
2	instructions2.txt	ewill	12	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_12.B.mp3   	will_12.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Henry was interviewed by the committee, and afterwards Henry accused the committee.
2	instructions2.txt	ewill	13	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_13.B.mp3   	will_13.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Ron was welcomed by his colleagues, and the following week Ron promoted a colleague.
2	instructions2.txt	ewill	14	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_14.B.mp3   	will_14.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Nina ran into Roger, then Nina was kicked by Roger.
2	instructions2.txt	ewill	15	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_15.B.mp3   	will_15.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Daniel said goodbye to Betsy, then Daniel was followed by Betsy.
2	instructions2.txt	ewill	16	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_16.B.mp3   	will_16.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Samuel was applauded by the audience, and then Samual charmed the audience. 
2	instructions2.txt	ewill	17	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_17.B.mp3   	will_17.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Sandy reminded Jack, and then Sandy was called by Jack.
2	instructions2.txt	ewill	18	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_18.B.mp3   	will_18.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Trixie was consulted by the board, and then Trixie encouraged the board.
2	instructions2.txt	ewill	19	1	Bad	http://prosodylab.org/~chael/www/sounds/williamsPerception/will_19.B.mp3   	will_19.B.mp3   	How natural did this sentence sound? \n\n(1=very bad, 7=very good)	jm	LatinSquare	Jenny noticed Louis, and a few minutes later Jenny was smiled at by Louis.
