experiment	item	condition	Context	Syntax	Superlative	context	text	question	qType	record	design			
veen	1	1	Additive	VP	Super	"People lined up at the climate conference to see government officials. Everyone saw several well known politicians. Nancy felt happy because she saw the vice president, Joe Biden, among other people. But Bill was able to top that. "	He even saw the most famous politician of all: Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			1
veen	1	2	NonAdditive	VP	Super	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she saw the vice president, Joe Biden. But Bill was able to top that. "	He even saw the most famous politician of all: Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			2
veen	1	3	Additive	VP	NoSuper	"People lined up at the climate conference to see government officials. Everyone saw several well known politicians. Nancy felt happy because she saw the vice president, Joe Biden, among other people. But Bill was able to top that. "	He even saw Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			3
veen	1	4	NonAdditive	VP	NoSuper	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she saw the vice president, Joe Biden. But Bill was able to top that. "	He even saw Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			4
veen	1	5	Additive	DP	Super	"People lined up at the climate conference to see government officials. Everyone saw several well known politicians. Nancy felt happy because she saw the vice president, Joe Biden, among other people. But Bill was able to top that. "	He saw even the most famous politician of all: Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			5
veen	1	6	NonAdditive	DP	Super	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she saw the vice president, Joe Biden. But Bill was able to top that. "	He saw even the most famous politician of all: Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			6
veen	1	7	Additive	DP	NoSuper	"People lined up at the climate conference to see government officials. Everyone saw several well known politicians. Nancy felt happy because she saw the vice president, Joe Biden, among other people. But Bill was able to top that. "	He saw even Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			7
veen	1	8	NonAdditive	DP	NoSuper	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she saw the vice president, Joe Biden. But Bill was able to top that. "	He saw even Obama.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			8
veen	2	1	Additive	VP	Super	"Everyone on the Dutch speed skating team won more than one medal, mostly, everyone won bronze and silver medals. Mary did particularly well."	She even won the most coveted of all: A gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	2	NonAdditive	VP	Super	"Every member of the the Dutch speed skating team won exactly one medal, most of them won a bronze medal, two won a silver medal. Mary did particularly well. "	She even won the most coveted of all: A gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	3	Additive	VP	NoSuper	"Everyone on the Dutch speed skating team won more than one medal, mostly, everyone won bronze and silver medals. Mary did particularly well."	She even won a gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	4	NonAdditive	VP	NoSuper	"Every member of the the Dutch speed skating team won exactly one medal, most of them won a bronze medal, two won a silver medal. Mary did particularly well. "	She even won a gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	5	Additive	DP	Super	"Everyone on the Dutch speed skating team won more than one medal, mostly, everyone won bronze and silver medals. Mary did particularly well."	She won even the most coveted of all: A gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	6	NonAdditive	DP	Super	"Every member of the the Dutch speed skating team won exactly one medal, most of them won a bronze medal, two won a silver medal. Mary did particularly well. "	She won even the most coveted of all: A gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	7	Additive	DP	NoSuper	"Everyone on the Dutch speed skating team won more than one medal, mostly, everyone won bronze and silver medals. Mary did particularly well."	She won even a gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	2	8	NonAdditive	DP	NoSuper	"Every member of the the Dutch speed skating team won exactly one medal, most of them won a bronze medal, two won a silver medal. Mary did particularly well. "	She won even a gold medal.	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	1	Additive	VP	Super	"We were playing a card game where each player has three cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. I said I did. "	"But in fact, I even had the most highly ranked card: The ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	2	NonAdditive	VP	Super	"We were playing a card game where each player only gets one card. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. "	"But in fact, I even had the most highly ranked card: The ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	3	Additive	VP	NoSuper	"We were playing a card game where each player has three cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. I said I did. "	"But in fact, I even had the ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	4	NonAdditive	VP	NoSuper	"We were playing a card game where each player only gets one card. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. "	"But in fact, I even had the ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	5	Additive	DP	Super	"We were playing a card game where each player has three cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. I said I did. "	"But in fact, I had even the most highly ranked card: The ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	6	NonAdditive	DP	Super	"We were playing a card game where each player only gets one card. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. "	"But in fact, I had even the most highly ranked card: The ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	7	Additive	DP	NoSuper	"We were playing a card game where each player has three cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. I said I did. "	"But in fact, I had even the ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	3	8	NonAdditive	DP	NoSuper	"We were playing a card game where each player only gets one card. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I have a queen. "	"But in fact, I had even the ace of clubs."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
veen	4	1	Additive	VP	Super	"Today, Donald Trump was in a particularly cantankerous mood. He was insulting people left and right. "	"This time, he even insulted his greatest ally: Chris Christie."	How natural did you think this sentence was?\n(Between1=completely unnatural; 6=completely natural)	jm	n	everyquestion			
